method	quality	guarantee	nb_patterns	crispiness	timespent	timeInitialize
CbO	0.90442534584794	-1	59646056	0.0	1281.346253156662	0.0298919677734375
RefineAndMine	0.8484205963285462	0.990990990990991	162257	1.0	4.823803186416626	0.0298919677734375
RefineAndMine	0.8484205963285462	0.990990990990991	194728	1.0	5.478210210800171	0.0298919677734375
RefineAndMine	0.8484205963285462	0.990990990990991	244094	1.0	6.476242303848267	0.0298919677734375
RefineAndMine	0.8780391269931019	0.990990990990991	348563	1.0	8.539607524871826	0.0298919677734375
RefineAndMine	0.8780391269931019	0.990990990990991	432710	1.0	10.177554607391357	0.0298919677734375
RefineAndMine	0.891232236420521	0.9826227901541709	617893	1.0	13.823057651519775	0.0298919677734375
RefineAndMine	0.891232236420521	0.9736137811451618	732496	1.0	16.672926664352417	0.0298919677734375
RefineAndMine	0.891232236420521	0.9623430962343096	850915	1.0	19.652158737182617	0.0298919677734375
RefineAndMine	0.891232236420521	0.9536544913113951	1041649	1.0	24.54729461669922	0.0298919677734375
RefineAndMine	0.90442534584794	0.9510818349730483	1412070	1.0	33.097737550735474	0.0298919677734375
RefineAndMine	0.90442534584794	0.9095706585246335	1737824	1.0	41.77999258041382	0.0298919677734375
RefineAndMine	0.90442534584794	0.9079497907949791	2020350	1.0	48.9702787399292	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	2464572	1.0	62.348066568374634	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	2843958	1.0	70.24375367164612	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	3184742	1.0	77.14610242843628	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	4358509	1.0	100.21129941940308	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	4907864	1.0	111.88460850715637	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	5379019	1.0	121.68204855918884	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	6793948	1.0	150.18348932266235	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	7699723	1.0	168.7225592136383	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	9079821	1.0	197.40273594856262	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	9939172	1.0	214.58341693878174	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	10910768	1.0	235.26486492156982	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	11947037	1.0	256.5330240726471	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	13235765	1.0	282.871887922287	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	14946277	1.0	317.73154759407043	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	17093141	1.0	360.89320158958435	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	18450953	1.0	388.7394685745239	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	21967205	1.0	460.56832933425903	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	25709456	1.0	535.8859853744507	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	27041834	1.0	563.3641993999481	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	29879726	1.0	625.0587315559387	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	32052800	1.0	672.6074566841125	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	34995787	1.0	733.3091983795166	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	40820181	1.0	853.47083735466	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	49685384	1.0	1036.1764442920685	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	55653039	1.0	1161.991244316101	0.0298919677734375
RefineAndMine	0.90442534584794	0.90442534584794	59110987	1.0	1236.139127254486	0.0298919677734375
