method	quality	guarantee	nb_patterns	crispiness	timespent	timeInitialize
CbO	0.90442534584794	-1	314100000	0.0	7201.493098020554	0.016994953155517578
RefineAndMine	0.8484205963285462	1.0	1426050	1.0	50.47534990310669	0.016994953155517578
RefineAndMine	0.8484205963285462	1.0	1739925	1.0	57.33613109588623	0.016994953155517578
RefineAndMine	0.8484205963285462	0.9977477477477478	2129919	1.0	67.66794943809509	0.016994953155517578
RefineAndMine	0.8484205963285462	0.9977477477477478	2674843	1.0	80.53526043891907	0.016994953155517578
RefineAndMine	0.872573410230314	0.9977477477477478	3802598	1.0	107.10858130455017	0.016994953155517578
RefineAndMine	0.872573410230314	0.9954954954954955	4603904	1.0	126.49582409858704	0.016994953155517578
RefineAndMine	0.872573410230314	0.9887387387387387	5495055	1.0	148.37528014183044	0.016994953155517578
RefineAndMine	0.8893003882543632	0.9781182856496664	7617363	1.0	200.75832200050354	0.016994953155517578
RefineAndMine	0.8893003882543632	0.9736137811451618	9850648	1.0	256.4243528842926	0.016994953155517578
RefineAndMine	0.8893003882543632	0.9623525198839006	11799473	1.0	307.2302498817444	0.016994953155517578
RefineAndMine	0.891232236420521	0.9623430962343096	14377592	1.0	372.7700128555298	0.016994953155517578
RefineAndMine	0.891232236420521	0.9536544913113951	16308400	1.0	429.5563168525696	0.016994953155517578
RefineAndMine	0.891232236420521	0.9517320667948282	19712892	1.0	519.896892786026	0.016994953155517578
RefineAndMine	0.90442534584794	0.9095706585246335	27686915	1.0	731.462064743042	0.016994953155517578
RefineAndMine	0.90442534584794	0.9079497907949791	32131520	1.0	859.7587337493896	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	36167540	1.0	1016.9509084224701	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	37970455	1.0	1063.0612244606018	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	40841293	1.0	1138.519959449768	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	44170686	1.0	1229.0939965248108	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	48330109	1.0	1334.5162632465363	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	52959360	1.0	1457.9144723415375	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	58302506	1.0	1594.0059113502502	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	63734157	1.0	1732.8400464057922	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	71901593	1.0	1933.991661310196	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	81714248	1.0	2180.768365383148	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	93353211	1.0	2456.3380692005157	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	99934074	1.0	2616.4703154563904	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	107113397	1.0	2783.5523393154144	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	117641754	1.0	3036.025991678238	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	135810720	1.0	3471.5157747268677	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	146165325	1.0	3724.389652967453	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	171271674	1.0	4323.529002904892	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	181166381	1.0	4568.063523769379	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	205941885	1.0	5174.3332488536835	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	216746150	1.0	5449.193750858307	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	283062054	1.0	7011.26776766777	0.016994953155517578
RefineAndMine	0.90442534584794	0.90442534584794	329952418	1.0	8127.244755744934	0.016994953155517578
