method	quality	guarantee	nb_patterns	crispiness	timespent	timeInitialize
CbO	0.3855298597566639	-1	419900000	0.0	7200.768848896027	0.022086143493652344
RefineAndMine	0.34577876845918076	0.9600631559394446	5506	1.0	0.15135502815246582	0.022086143493652344
RefineAndMine	0.34577876845918076	0.9510541469304356	7423	1.0	0.19554591178894043	0.022086143493652344
RefineAndMine	0.34577876845918076	0.9420451379214265	10033	1.0	0.2594437599182129	0.022086143493652344
RefineAndMine	0.34577876845918076	0.9240271199034086	12691	1.0	0.3318789005279541	0.022086143493652344
RefineAndMine	0.34577876845918076	0.9240271199034086	15501	1.0	0.40677380561828613	0.022086143493652344
RefineAndMine	0.34577876845918076	0.8970000928763815	20544	1.0	0.5516166687011719	0.022086143493652344
RefineAndMine	0.34577876845918076	0.8789820748583635	28881	1.0	0.749701738357544	0.022086143493652344
RefineAndMine	0.34577876845918076	0.8609640568403455	34317	1.0	0.9227936267852783	0.022086143493652344
RefineAndMine	0.34577876845918076	0.8506547784898301	48239	1.0	1.2671585083007812	0.022086143493652344
RefineAndMine	0.3547877774681898	0.8429460388223275	61597	1.0	1.5982627868652344	0.022086143493652344
RefineAndMine	0.3547877774681898	0.8429460388223275	66359	1.0	1.8132200241088867	0.022086143493652344
RefineAndMine	0.3547877774681898	0.8339370298133184	81595	1.0	2.209092140197754	0.022086143493652344
RefineAndMine	0.3547877774681898	0.796600724435776	103683	1.0	3.1231019496917725	0.022086143493652344
RefineAndMine	0.3547877774681898	0.796600724435776	116360	1.0	3.475905179977417	0.022086143493652344
RefineAndMine	0.3547877774681898	0.787591715426767	144541	1.0	4.598465204238892	0.022086143493652344
RefineAndMine	0.3547877774681898	0.7772824370762514	163098	1.0	5.528085470199585	0.022086143493652344
RefineAndMine	0.3547877774681898	0.7772824370762514	172760	1.0	6.2068915367126465	0.022086143493652344
RefineAndMine	0.3547877774681898	0.769573697408749	201665	1.0	7.605776786804199	0.022086143493652344
RefineAndMine	0.3547877774681898	0.751555679390731	267308	1.0	10.125403881072998	0.022086143493652344
RefineAndMine	0.3547877774681898	0.751555679390731	276397	1.0	10.370384216308594	0.022086143493652344
RefineAndMine	0.3547877774681898	0.742546670381722	330006	1.0	12.519960165023804	0.022086143493652344
RefineAndMine	0.3547877774681898	0.7424537940001857	402763	1.0	15.91962718963623	0.022086143493652344
RefineAndMine	0.3547877774681898	0.7216494845360825	499889	1.0	21.005844116210938	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6598866908145258	660977	1.0	28.595596075057983	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6547784898300362	720613	1.0	32.50644135475159	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6547784898300362	803270	1.0	36.02882719039917	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6367604718120181	944019	1.0	43.474165201187134	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6367604718120181	1099329	1.0	50.78651309013367	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6367604718120181	1217593	1.0	56.3296799659729	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6367604718120181	1301688	1.0	60.984841108322144	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6367604718120181	1438545	1.0	68.56488013267517	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6367604718120181	1898100	1.0	81.47628617286682	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6367604718120181	1948260	1.0	85.93392610549927	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6277514628030092	2085205	1.0	96.34604811668396	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6251509241199963	2169938	1.0	101.3939459323883	0.022086143493652344
RefineAndMine	0.3547877774681898	0.6225503854369834	2266541	1.0	107.21703767776489	0.022086143493652344
RefineAndMine	0.3547877774681898	0.5942230890684499	2387841	1.0	115.13250160217285	0.022086143493652344
RefineAndMine	0.3547877774681898	0.5942230890684499	2512951	1.0	123.12004256248474	0.022086143493652344
RefineAndMine	0.3547877774681898	0.555586514349401	2680773	1.0	135.36867356300354	0.022086143493652344
RefineAndMine	0.3547877774681898	0.555586514349401	3245704	1.0	166.4972846508026	0.022086143493652344
RefineAndMine	0.3547877774681898	0.555586514349401	3594007	1.0	176.0554437637329	0.022086143493652344
RefineAndMine	0.35998885483421567	0.5503854369833752	3940169	1.0	191.16294980049133	0.022086143493652344
RefineAndMine	0.35998885483421567	0.5503854369833752	4502071	1.0	215.37035298347473	0.022086143493652344
RefineAndMine	0.35998885483421567	0.5503854369833752	4805360	1.0	236.01363801956177	0.022086143493652344
RefineAndMine	0.35998885483421567	0.5311600260053868	4983172	1.0	251.0510811805725	0.022086143493652344
RefineAndMine	0.35998885483421567	0.5235441627194204	5048240	1.0	260.9343981742859	0.022086143493652344
RefineAndMine	0.35998885483421567	0.5195504783133649	5351489	1.0	279.97245597839355	0.022086143493652344
RefineAndMine	0.35998885483421567	0.5195504783133649	5900878	1.0	309.3199579715729	0.022086143493652344
RefineAndMine	0.35998885483421567	0.5195504783133649	6064774	1.0	328.13645792007446	0.022086143493652344
