method	quality	guarantee	nb_patterns	crispiness	timespent	timeInitialize
CbO	0.7259920634920635	-1	1686465	0.0	21.30179500579834	0.008095026016235352
RefineAndMine	0.4551587301587301	0.9285714285714286	579	1.0	0.013485908508300781	0.008095026016235352
RefineAndMine	0.4551587301587301	0.9285714285714286	761	1.0	0.019879817962646484	0.008095026016235352
RefineAndMine	0.4551587301587301	0.9285714285714286	826	1.0	0.02494502067565918	0.008095026016235352
RefineAndMine	0.4551587301587301	0.9	1111	1.0	0.03506302833557129	0.008095026016235352
RefineAndMine	0.4551587301587301	0.8513888888888889	1449	1.0	0.04844307899475098	0.008095026016235352
RefineAndMine	0.4551587301587301	0.8232142857142857	2010	1.0	0.06578207015991211	0.008095026016235352
RefineAndMine	0.4551587301587301	0.781547619047619	2410	1.0	0.08154487609863281	0.008095026016235352
RefineAndMine	0.5561507936507937	0.781547619047619	2872	1.0	0.09719014167785645	0.008095026016235352
RefineAndMine	0.5704365079365079	0.781547619047619	3431	1.0	0.11919212341308594	0.008095026016235352
RefineAndMine	0.6349206349206349	0.781547619047619	4032	1.0	0.13796424865722656	0.008095026016235352
RefineAndMine	0.6492063492063492	0.7734126984126984	4780	1.0	0.15778422355651855	0.008095026016235352
RefineAndMine	0.6634920634920635	0.7734126984126984	5097	1.0	0.1717209815979004	0.008095026016235352
RefineAndMine	0.6634920634920635	0.7734126984126984	6234	1.0	0.21731090545654297	0.008095026016235352
RefineAndMine	0.7047619047619048	0.7734126984126984	7059	1.0	0.23478078842163086	0.008095026016235352
RefineAndMine	0.7047619047619048	0.7734126984126984	8244	1.0	0.27912378311157227	0.008095026016235352
RefineAndMine	0.7047619047619048	0.7734126984126984	9245	1.0	0.3186976909637451	0.008095026016235352
RefineAndMine	0.7047619047619048	0.7672619047619048	10672	1.0	0.37445688247680664	0.008095026016235352
RefineAndMine	0.7047619047619048	0.7672619047619048	13545	1.0	0.4814748764038086	0.008095026016235352
RefineAndMine	0.7047619047619048	0.7664682539682539	17804	1.0	0.594890832901001	0.008095026016235352
RefineAndMine	0.719047619047619	0.7664682539682539	19493	1.0	0.6279797554016113	0.008095026016235352
RefineAndMine	0.719047619047619	0.7537698412698413	21308	1.0	0.7011017799377441	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7537698412698413	23280	1.0	0.7492249011993408	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7329365079365079	25082	1.0	0.8452458381652832	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7329365079365079	27778	1.0	0.9565858840942383	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	29576	1.0	1.0502610206604004	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	32166	1.0	1.0851781368255615	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	35218	1.0	1.124514102935791	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	40512	1.0	1.1905291080474854	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	43821	1.0	1.2341277599334717	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	47781	1.0	1.2829806804656982	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	53088	1.0	1.3502707481384277	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	55970	1.0	1.3859827518463135	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	59426	1.0	1.4310698509216309	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	66404	1.0	1.5131518840789795	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	71200	1.0	1.5730962753295898	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	74604	1.0	1.6165380477905273	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	79437	1.0	1.6772351264953613	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	85417	1.0	1.7524912357330322	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	98272	1.0	1.9083549976348877	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	122385	1.0	2.19455885887146	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	126515	1.0	2.248483896255493	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	142277	1.0	2.436354160308838	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	155597	1.0	2.5974462032318115	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	167342	1.0	2.7368571758270264	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	173005	1.0	2.807492256164551	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	180572	1.0	2.9039385318756104	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	188534	1.0	3.0011935234069824	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	193179	1.0	3.0606484413146973	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	197509	1.0	3.117464542388916	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	210263	1.0	3.2696173191070557	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	232255	1.0	3.5364625453948975	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	255930	1.0	3.8209495544433594	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	255946	1.0	3.8214385509490967	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	257116	1.0	3.837035655975342	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	267174	1.0	3.9608616828918457	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	285542	1.0	4.180025577545166	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	311341	1.0	4.504643678665161	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	327720	1.0	4.70271372795105	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	337802	1.0	4.826383590698242	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	354579	1.0	5.027993679046631	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	354752	1.0	5.030873537063599	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	375620	1.0	5.2829577922821045	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	381144	1.0	5.37047553062439	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	388192	1.0	5.4575114250183105	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	415011	1.0	5.782039403915405	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	417527	1.0	5.814559698104858	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	451366	1.0	6.215591669082642	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	460754	1.0	6.33172869682312	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	483330	1.0	6.603463888168335	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	500372	1.0	6.809435844421387	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	506696	1.0	6.885206937789917	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	546048	1.0	7.341159820556641	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	546150	1.0	7.342864751815796	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	564207	1.0	7.562469959259033	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	579253	1.0	7.742717981338501	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	609390	1.0	8.105855703353882	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	612083	1.0	8.149038791656494	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	636749	1.0	8.44650673866272	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	636758	1.0	8.446837663650513	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	650461	1.0	8.61631989479065	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	671557	1.0	8.879099607467651	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	681781	1.0	9.005301713943481	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	707602	1.0	9.32012677192688	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	727752	1.0	9.571455717086792	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	763108	1.0	9.996529579162598	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	805967	1.0	10.497564792633057	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	855428	1.0	11.079242467880249	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	894771	1.0	11.55092453956604	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	956742	1.0	12.304738521575928	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1017448	1.0	13.036840438842773	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1043623	1.0	13.354016542434692	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1100296	1.0	14.038790225982666	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1145511	1.0	14.565256595611572	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1175910	1.0	14.94861650466919	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1275718	1.0	16.120091438293457	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1292704	1.0	16.334847688674927	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1317971	1.0	16.66893172264099	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1318483	1.0	16.675357580184937	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1399741	1.0	17.66733455657959	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1421928	1.0	17.93852663040161	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1452992	1.0	18.31664752960205	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1505812	1.0	18.97523832321167	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1512804	1.0	19.063751459121704	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1678648	1.0	21.02199649810791	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1678649	1.0	21.02219271659851	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1699685	1.0	21.285433769226074	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1744414	1.0	21.826491355895996	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1761609	1.0	22.035949230194092	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1800356	1.0	22.511624097824097	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1802754	1.0	22.545451164245605	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1819624	1.0	22.760716199874878	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1839696	1.0	23.00605845451355	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1910414	1.0	23.898885250091553	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1910419	1.0	23.89918327331543	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	1989453	1.0	24.8425133228302	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2048202	1.0	25.560447454452515	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2065866	1.0	25.776885509490967	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2099645	1.0	26.193002462387085	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2159548	1.0	26.92086148262024	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2201355	1.0	27.434544801712036	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2214669	1.0	27.60258388519287	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2230298	1.0	27.80512309074402	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2247921	1.0	28.041748046875	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2249391	1.0	28.06070899963379	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2249401	1.0	28.06104612350464	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2292807	1.0	28.597060203552246	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2292823	1.0	28.597597122192383	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2310294	1.0	28.831696271896362	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2335286	1.0	29.14820432662964	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2343955	1.0	29.2642924785614	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2397598	1.0	29.92962646484375	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2434943	1.0	30.383700370788574	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2459157	1.0	30.674359560012817	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2481134	1.0	30.93798542022705	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2481135	1.0	30.938194513320923	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2489521	1.0	31.04205870628357	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2569578	1.0	32.03780245780945	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2570285	1.0	32.048115253448486	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2570286	1.0	32.04830241203308	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2586959	1.0	32.25636315345764	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2614098	1.0	32.59023952484131	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2636202	1.0	32.85896873474121	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2655663	1.0	33.105299949645996	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2658229	1.0	33.13848686218262	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2689808	1.0	33.5381441116333	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2740824	1.0	34.164799213409424	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2850976	1.0	35.54016423225403	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2851192	1.0	35.54383635520935	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2877440	1.0	35.879064321517944	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2894160	1.0	36.1065411567688	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2904331	1.0	36.23555016517639	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2978804	1.0	37.12724304199219	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2992859	1.0	37.300283432006836	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	2992875	1.0	37.30085062980652	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3029384	1.0	37.75282645225525	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3035338	1.0	37.82813239097595	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3040827	1.0	37.896682262420654	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3059428	1.0	38.12752938270569	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3062592	1.0	38.16974639892578	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3085732	1.0	38.45886445045471	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3098475	1.0	38.62717843055725	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3147898	1.0	39.2339825630188	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3224263	1.0	40.19357633590698	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3322323	1.0	41.41505217552185	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3346249	1.0	41.710569858551025	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3378552	1.0	42.117758989334106	0.008095026016235352
RefineAndMine	0.7259920634920635	0.7259920634920635	3448371	1.0	42.99342584609985	0.008095026016235352
