method	quality	guarantee	nb_patterns	timespent	timeInitialize	precision	recall	fscore	globality	crispiness	size_pattern_set
CbO	0.4111922141119221	-1	177731	4.573926210403442	0.035282135009765625	1.0	1.0	1.0	0.0	0.0	10
RefineAndMine	0.32205264322052646	0.9180491041804911	1289	0.04854011535644531	0.035282135009765625	1.0	0.6449406165764223	0.7841506375089974	0.12807881773399016	0.43349753694581283	987
RefineAndMine	0.32205264322052646	0.902897589028976	1657	0.07819890975952148	0.035282135009765625	1.0	0.6473215689573747	0.785907962544409	0.12807881773399016	0.43349753694581283	219
RefineAndMine	0.32205264322052646	0.902897589028976	2281	0.12768244743347168	0.035282135009765625	1.0	0.6473600304958363	0.7859363084109651	0.12807881773399016	0.43349753694581283	403
RefineAndMine	0.32205264322052646	0.8591019685910197	2857	0.16219639778137207	0.035282135009765625	1.0	0.6763106502672068	0.8069037205716038	0.11822660098522167	0.41133004926108374	415
RefineAndMine	0.32205264322052646	0.8591019685910197	3388	0.20808100700378418	0.035282135009765625	1.0	0.6793106502672067	0.8090351242149474	0.10344827586206896	0.41133004926108374	317
RefineAndMine	0.32205264322052646	0.8591019685910197	3872	0.24978899955749512	0.035282135009765625	1.0	0.6793106502672067	0.8090351242149474	0.10344827586206896	0.41133004926108374	278
RefineAndMine	0.32205264322052646	0.8091130280911303	4800	0.3319213390350342	0.035282135009765625	1.0	0.692915138345748	0.8186058741524849	0.10344827586206896	0.39408866995073893	632
RefineAndMine	0.32205264322052646	0.8012607830126078	6303	0.46323156356811523	0.035282135009765625	1.0	0.692915138345748	0.8186058741524849	0.10344827586206896	0.3817733990147783	1165
RefineAndMine	0.32205264322052646	0.8012607830126078	7059	0.5476851463317871	0.035282135009765625	1.0	0.6970818050124148	0.8215064270367513	0.10344827586206896	0.3768472906403941	503
RefineAndMine	0.32205264322052646	0.7855562928555628	9401	0.781545877456665	0.035282135009765625	1.0	0.720393632969404	0.8374753535050031	0.08866995073891626	0.3694581280788177	2115
RefineAndMine	0.32205264322052646	0.7715107277151073	11442	0.9117593765258789	0.035282135009765625	1.0	0.7217741043498753	0.8384074339675471	0.08866995073891626	0.3694581280788177	1525
RefineAndMine	0.32205264322052646	0.7642114576421146	12518	1.1398169994354248	0.035282135009765625	1.0	0.7217741043498753	0.8384074339675471	0.08866995073891626	0.3669950738916256	481
RefineAndMine	0.32205264322052646	0.7642114576421146	16908	1.4435887336730957	0.035282135009765625	1.0	0.7217741043498753	0.8384074339675471	0.08866995073891626	0.3669950738916256	2760
RefineAndMine	0.32205264322052646	0.6750718867507189	20450	1.7654595375061035	0.035282135009765625	1.0	0.7217741043498753	0.8384074339675471	0.08866995073891626	0.3251231527093596	2653
RefineAndMine	0.32205264322052646	0.6750718867507189	22575	1.9925518035888672	0.035282135009765625	1.0	0.7217741043498753	0.8384074339675471	0.08866995073891626	0.3251231527093596	1280
RefineAndMine	0.3365405883654059	0.6665560716655607	24714	2.342878580093384	0.035282135009765625	1.0	0.7327418462853593	0.8457599703685883	0.08374384236453201	0.3251231527093596	2062
RefineAndMine	0.3438398584383986	0.6665560716655607	28275	2.616334915161133	0.035282135009765625	1.0	0.7327418462853593	0.8457599703685883	0.08374384236453201	0.3251231527093596	2601
RefineAndMine	0.3438398584383986	0.6665560716655607	30617	2.924973964691162	0.035282135009765625	1.0	0.7327418462853593	0.8457599703685883	0.08374384236453201	0.3251231527093596	1385
RefineAndMine	0.3438398584383986	0.6212121212121212	32977	3.357907772064209	0.035282135009765625	1.0	0.7362944778643067	0.8481216605261229	0.08374384236453201	0.28078817733990147	2170
RefineAndMine	0.3438398584383986	0.6212121212121212	37633	3.704650640487671	0.035282135009765625	1.0	0.7362944778643067	0.8481216605261229	0.08374384236453201	0.28078817733990147	3363
RefineAndMine	0.37414288874142887	0.6212121212121212	41188	4.307472467422485	0.035282135009765625	1.0	0.7516292070654412	0.8582058394934724	0.08374384236453201	0.2684729064039409	2878
RefineAndMine	0.37414288874142887	0.6212121212121212	42865	4.603055477142334	0.035282135009765625	1.0	0.7516292070654412	0.8582058394934724	0.08374384236453201	0.2684729064039409	1450
RefineAndMine	0.37414288874142887	0.6212121212121212	47467	4.89628267288208	0.035282135009765625	1.0	0.7688850993213334	0.8693443114155136	0.08374384236453201	0.2684729064039409	4423
RefineAndMine	0.37414288874142887	0.6212121212121212	50083	5.145163059234619	0.035282135009765625	1.0	0.7688850993213334	0.8693443114155136	0.08374384236453201	0.2684729064039409	2193
RefineAndMine	0.37414288874142887	0.617230701172307	52214	5.526588201522827	0.035282135009765625	1.0	0.7767798361634387	0.8743681353799266	0.08374384236453201	0.2684729064039409	1959
RefineAndMine	0.37414288874142887	0.617230701172307	56099	6.129577159881592	0.035282135009765625	1.0	0.7840525634361659	0.8789567970195286	0.08374384236453201	0.2660098522167488	3378
RefineAndMine	0.37414288874142887	0.617230701172307	59686	6.634946584701538	0.035282135009765625	1.0	0.7840525634361659	0.8789567970195286	0.08374384236453201	0.26108374384236455	3009
RefineAndMine	0.37414288874142887	0.608272506082725	68012	7.519786357879639	0.035282135009765625	1.0	0.7840525634361659	0.8789567970195286	0.08374384236453201	0.25862068965517243	3810
RefineAndMine	0.37414288874142887	0.608272506082725	79925	8.275218725204468	0.035282135009765625	1.0	0.7840525634361659	0.8789567970195286	0.08374384236453201	0.24630541871921183	8484
RefineAndMine	0.37414288874142887	0.608272506082725	83324	8.75063157081604	0.035282135009765625	1.0	0.7840525634361659	0.8789567970195286	0.08374384236453201	0.24630541871921183	1955
RefineAndMine	0.37414288874142887	0.5993143109931431	88238	9.438057899475098	0.035282135009765625	1.0	0.7840525634361659	0.8789567970195286	0.08374384236453201	0.24630541871921183	4466
RefineAndMine	0.37414288874142887	0.5993143109931431	91838	9.827593803405762	0.035282135009765625	1.0	0.7840525634361659	0.8789567970195286	0.08374384236453201	0.24630541871921183	2079
RefineAndMine	0.37414288874142887	0.581840300818403	94375	10.179507732391357	0.035282135009765625	1.0	0.8224122557704499	0.9025534734705389	0.03940886699507389	0.24630541871921183	2014
RefineAndMine	0.37414288874142887	0.581840300818403	99696	11.08716607093811	0.035282135009765625	1.0	0.8224122557704499	0.9025534734705389	0.03940886699507389	0.24630541871921183	2385
RefineAndMine	0.37414288874142887	0.5717761557177615	104473	11.820378541946411	0.035282135009765625	1.0	0.8224122557704499	0.9025534734705389	0.03940886699507389	0.23399014778325122	4380
RefineAndMine	0.39714664897146645	0.5717761557177615	119212	12.674195051193237	0.035282135009765625	1.0	0.8288835956755248	0.9064366891752502	0.03940886699507389	0.23399014778325122	12231
RefineAndMine	0.39714664897146645	0.5717761557177615	123578	13.384961605072021	0.035282135009765625	1.0	0.8288835956755248	0.9064366891752502	0.03940886699507389	0.23399014778325122	3648
RefineAndMine	0.39714664897146645	0.5599424905994249	138415	14.88058066368103	0.035282135009765625	1.0	0.8288835956755248	0.9064366891752502	0.03940886699507389	0.23399014778325122	10029
RefineAndMine	0.39714664897146645	0.5593895155938952	138464	15.299565315246582	0.035282135009765625	1.0	0.8288835956755248	0.9064366891752502	0.03940886699507389	0.23399014778325122	37
RefineAndMine	0.39714664897146645	0.5588365405883654	141801	15.81130862236023	0.035282135009765625	1.0	0.8288835956755248	0.9064366891752502	0.03940886699507389	0.23399014778325122	2266
RefineAndMine	0.39714664897146645	0.5520902455209025	149065	16.746930837631226	0.035282135009765625	1.0	0.8288835956755248	0.9064366891752502	0.03940886699507389	0.23399014778325122	3813
RefineAndMine	0.4038929440389294	0.5520902455209025	153461	17.373046159744263	0.035282135009765625	1.0	0.8370947485577304	0.9113245239146409	0.03940886699507389	0.23399014778325122	3519
RefineAndMine	0.4038929440389294	0.5520902455209025	153461	17.79928946495056	0.035282135009765625	1.0	0.8370947485577304	0.9113245239146409	0.03940886699507389	0.23399014778325122	0
RefineAndMine	0.4038929440389294	0.54423800044238	157385	18.403520107269287	0.035282135009765625	1.0	0.8509467409675976	0.9194718812090275	0.03940886699507389	0.23399014778325122	3909
RefineAndMine	0.4038929440389294	0.5303030303030303	158267	18.879549503326416	0.035282135009765625	1.0	0.8509467409675976	0.9194718812090275	0.03940886699507389	0.21428571428571427	329
RefineAndMine	0.4038929440389294	0.5027648750276488	167166	19.52344512939453	0.035282135009765625	1.0	0.8560278870305108	0.9224299839590059	0.03940886699507389	0.21428571428571427	7899
RefineAndMine	0.4038929440389294	0.5027648750276488	179577	20.48451280593872	0.035282135009765625	1.0	0.8693612203638443	0.9301158180596425	0.03940886699507389	0.21428571428571427	8532
