method	quality	guarantee	nb_patterns	timespent	timeInitialize	precision	recall	fscore	globality	crispiness	size_pattern_set
CbO	0.9018526895095933	-1	2531420	45.524824142456055	0.03217005729675293	1.0	1.0	1.0	0.0	0.0	10
RefineAndMine	0.8255682460703381	0.990990990990991	14694	0.4988727569580078	0.03217005729675293	1.0	0.7270633030701106	0.8419648565025358	0.07759882869692533	0.47218155197657397	13691
RefineAndMine	0.8642052093934939	0.990990990990991	21760	0.8478672504425049	0.03217005729675293	1.0	0.7301334866158568	0.8440198311449353	0.07759882869692533	0.47218155197657397	7066
RefineAndMine	0.8642052093934939	0.990990990990991	28426	1.1598408222198486	0.03217005729675293	1.0	0.7317144008167563	0.845075146885244	0.07759882869692533	0.47144948755490484	6196
RefineAndMine	0.8642052093934939	0.990990990990991	35708	1.473463535308838	0.03217005729675293	1.0	0.7317144008167563	0.845075146885244	0.07759882869692533	0.47144948755490484	7282
RefineAndMine	0.8844754796637642	0.9842342342342343	53281	1.9518561363220215	0.03217005729675293	1.0	0.7346482873408148	0.84702852180717	0.07759882869692533	0.4685212298682284	17523
RefineAndMine	0.8844754796637642	0.9826227901541709	64263	2.5293548107147217	0.03217005729675293	1.0	0.7378992544413959	0.8491853052535835	0.07759882869692533	0.4670571010248902	10982
RefineAndMine	0.9018526895095933	0.9713615288929096	85228	3.5302951335906982	0.03217005729675293	1.0	0.7476007469787094	0.8555738469111758	0.07759882869692533	0.4670571010248902	20965
RefineAndMine	0.9018526895095933	0.949479814542576	103836	5.191187381744385	0.03217005729675293	1.0	0.7566528457983009	0.8614711183352158	0.07027818448023426	0.4465592972181552	18593
RefineAndMine	0.9018526895095933	0.9079497907949791	127111	6.900714635848999	0.03217005729675293	1.0	0.7706013029157224	0.8704402302728924	0.07027818448023426	0.3008784773060029	23258
RefineAndMine	0.9018526895095933	0.9021730935956878	145729	9.85435700416565	0.03217005729675293	1.0	0.8005738303882499	0.8892429922916582	0.05856515373352855	0.3008784773060029	18445
RefineAndMine	0.9018526895095933	0.9018526895095933	174969	11.60089898109436	0.03217005729675293	1.0	0.8068354193199287	0.8930923211850829	0.05856515373352855	0.1720351390922401	28978
RefineAndMine	0.9018526895095933	0.9018526895095933	211789	12.498556137084961	0.03217005729675293	1.0	0.8068354193199287	0.8930923211850829	0.05856515373352855	0.1720351390922401	36426
RefineAndMine	0.9018526895095933	0.9018526895095933	247922	13.37843918800354	0.03217005729675293	1.0	0.8108251814397722	0.8955311531454315	0.05856515373352855	0.1720351390922401	35706
RefineAndMine	0.9018526895095933	0.9018526895095933	281358	14.324753522872925	0.03217005729675293	1.0	0.8177948784094692	0.8997658516069995	0.05856515373352855	0.1595900439238653	32964
RefineAndMine	0.9018526895095933	0.9018526895095933	308367	15.001318216323853	0.03217005729675293	1.0	0.8177948784094692	0.8997658516069995	0.05856515373352855	0.1595900439238653	26631
RefineAndMine	0.9018526895095933	0.9018526895095933	340507	15.78739619255066	0.03217005729675293	1.0	0.8309656101167862	0.9076801940193556	0.05856515373352855	0.1595900439238653	31937
RefineAndMine	0.9018526895095933	0.9018526895095933	377188	16.779831171035767	0.03217005729675293	1.0	0.8309656101167862	0.9076801940193556	0.05856515373352855	0.1595900439238653	36502
RefineAndMine	0.9018526895095933	0.9018526895095933	454114	18.64652729034424	0.03217005729675293	1.0	0.8309656101167862	0.9076801940193556	0.05856515373352855	0.1595900439238653	76199
RefineAndMine	0.9018526895095933	0.9018526895095933	485990	19.457804679870605	0.03217005729675293	1.0	0.8403406101167862	0.9132446521010683	0.05856515373352855	0.1595900439238653	31485
RefineAndMine	0.9018526895095933	0.9018526895095933	668714	23.831195831298828	0.03217005729675293	1.0	0.8423469384889882	0.914428136081518	0.05710102489019034	0.1581259150805271	180821
RefineAndMine	0.9018526895095933	0.9018526895095933	763681	26.174057722091675	0.03217005729675293	1.0	0.8578231289651788	0.9234712557841743	0.05710102489019034	0.14568081991215226	93639
RefineAndMine	0.9018526895095933	0.9018526895095933	809577	27.545102834701538	0.03217005729675293	1.0	0.8775200986621485	0.93476506513825	0.05710102489019034	0.1259150805270864	45676
RefineAndMine	0.9018526895095933	0.9018526895095933	856737	28.76492691040039	0.03217005729675293	1.0	0.8775200986621485	0.93476506513825	0.05710102489019034	0.1259150805270864	46669
RefineAndMine	0.9018526895095933	0.9018526895095933	929908	30.646228313446045	0.03217005729675293	1.0	0.8912043091884643	0.9424727987965399	0.05710102489019034	0.1259150805270864	72581
RefineAndMine	0.9018526895095933	0.9018526895095933	976756	31.876824855804443	0.03217005729675293	1.0	0.9109226190476191	0.9533851449218933	0.05710102489019034	0.1259150805270864	46061
RefineAndMine	0.9018526895095933	0.9018526895095933	1055574	34.02113461494446	0.03217005729675293	1.0	0.9109226190476191	0.9533851449218933	0.05710102489019034	0.1259150805270864	78709
RefineAndMine	0.9018526895095933	0.9018526895095933	1203891	37.78136324882507	0.03217005729675293	1.0	0.9163771645021646	0.9563641035560142	0.05710102489019034	0.1259150805270864	148317
RefineAndMine	0.9018526895095933	0.9018526895095933	1280764	39.78204917907715	0.03217005729675293	1.0	0.9320021645021646	0.9648044724031886	0.05710102489019034	0.1259150805270864	75650
RefineAndMine	0.9018526895095933	0.9018526895095933	1516686	45.33898425102234	0.03217005729675293	1.0	0.9445021645021645	0.9714591032548199	0.05710102489019034	0.1259150805270864	235922
RefineAndMine	0.9018526895095933	0.9018526895095933	1835445	53.00053858757019	0.03217005729675293	1.0	0.9514119922630562	0.9751011022123542	0.04538799414348463	0.11127379209370425	316000
RefineAndMine	0.9018526895095933	0.9018526895095933	2252979	62.918235301971436	0.03217005729675293	1.0	0.9559574468085106	0.9774828673991081	0.04538799414348463	0.11127379209370425	414779
RefineAndMine	0.9018526895095933	0.9018526895095933	2508661	69.35227704048157	0.03217005729675293	1.0	0.9773239436619718	0.9885319467198518	0.013177159590043924	0.03733528550512445	255682
RefineAndMine	0.9018526895095933	0.9018526895095933	2862008	79.34864902496338	0.03217005729675293	1.0	0.9825373134328359	0.9911917488519159	0.010248901903367497	0.021961932650073207	350439
RefineAndMine	0.9018526895095933	0.9018526895095933	2984812	82.58123230934143	0.03217005729675293	1.0	1.0	1.0	0.0	0.0	120633
