method	quality	guarantee	nb_patterns	timespent	timeInitialize	precision	recall	fscore	globality	crispiness	size_pattern_set
CbO	0.7259920634920635	-1	1593724	21.79790997505188	0.007784128189086914	1.0	1.0	1.0	0.0	0.0	10
RefineAndMine	0.4551587301587301	0.9285714285714286	504	0.01328134536743164	0.007784128189086914	1.0	0.44975822957530276	0.620459633061792	0.18691588785046728	0.34345794392523366	481
RefineAndMine	0.4551587301587301	0.9	645	0.023816823959350586	0.007784128189086914	1.0	0.47067575424282737	0.6400809327072279	0.18691588785046728	0.32710280373831774	129
RefineAndMine	0.4551587301587301	0.8660714285714286	841	0.035759925842285156	0.007784128189086914	1.0	0.47727036577164944	0.6461516819534224	0.18691588785046728	0.3014018691588785	188
RefineAndMine	0.4551587301587301	0.8513888888888889	1018	0.04638051986694336	0.007784128189086914	1.0	0.5056647083571686	0.6716830188693199	0.18691588785046728	0.3014018691588785	177
RefineAndMine	0.4551587301587301	0.824404761904762	1219	0.06219625473022461	0.007784128189086914	1.0	0.5395104113242637	0.7008856937319247	0.1588785046728972	0.2967289719626168	200
RefineAndMine	0.4551587301587301	0.8093253968253968	1721	0.09180116653442383	0.007784128189086914	1.0	0.5526598559656437	0.7118878662859853	0.1588785046728972	0.29439252336448596	491
RefineAndMine	0.4625	0.8093253968253968	2036	0.10790300369262695	0.007784128189086914	1.0	0.5529221166527668	0.7121054053175032	0.1542056074766355	0.29439252336448596	309
RefineAndMine	0.5037698412698413	0.8093253968253968	2370	0.11728715896606445	0.007784128189086914	1.0	0.563042692221062	0.7204444191105056	0.11682242990654206	0.2827102803738318	334
RefineAndMine	0.5180555555555556	0.8023809523809523	2711	0.13008785247802734	0.007784128189086914	1.0	0.5664409930706372	0.7232203390697324	0.11214953271028037	0.2827102803738318	331
RefineAndMine	0.5180555555555556	0.7950396825396826	3449	0.1552572250366211	0.007784128189086914	1.0	0.5779794546090987	0.7325563750793921	0.11214953271028037	0.2827102803738318	724
RefineAndMine	0.5180555555555556	0.7880952380952381	3722	0.17407846450805664	0.007784128189086914	1.0	0.5779794546090987	0.7325563750793921	0.11214953271028037	0.2827102803738318	273
