method	quality	guarantee	nb_patterns	timespent	timeInitialize	precision	recall	fscore	globality	crispiness	size_pattern_set
CbO	0.22195013524815588	-1	349493	5.216442108154297	0.020227909088134766	1.0	1.0	1.0	0.0	0.0	10
RefineAndMine	0.21842577174330732	0.8295477663333811	990	0.03311610221862793	0.020227909088134766	1.0	0.6767497777628686	0.807216183044071	0.143245078071962	0.4378818737270876	631
RefineAndMine	0.21842577174330732	0.7477942118310115	1278	0.05946850776672363	0.020227909088134766	1.0	0.7108677112009267	0.8310025451376836	0.143245078071962	0.40801086218601496	123
RefineAndMine	0.21842577174330732	0.735196166336395	1637	0.0844428539276123	0.020227909088134766	1.0	0.7108677112009267	0.8310025451376836	0.143245078071962	0.4029192124915139	152
RefineAndMine	0.21842577174330732	0.7197933227344993	2393	0.13428878784179688	0.020227909088134766	1.0	0.7108677112009267	0.8310025451376836	0.143245078071962	0.38662593346911067	368
RefineAndMine	0.21842577174330732	0.6375198728139905	3452	0.20320677757263184	0.020227909088134766	1.0	0.7301007117837374	0.8439979323874182	0.11744738628649015	0.3282416836388323	487
RefineAndMine	0.21842577174330732	0.6081099917871593	4307	0.274883508682251	0.020227909088134766	1.0	0.7731283418487774	0.8720500638353839	0.11744738628649015	0.296673455532926	299
RefineAndMine	0.21842577174330732	0.5619014609814721	5924	0.3644566535949707	0.020227909088134766	1.0	0.7731283418487774	0.8720500638353839	0.11744738628649015	0.29599456890699255	665
RefineAndMine	0.21842577174330732	0.5500531197492446	8945	0.5832047462463379	0.020227909088134766	1.0	0.7918442384207713	0.8838315534821904	0.11473183978275628	0.29429735234215887	1171
RefineAndMine	0.21842577174330732	0.5406177713816409	13290	0.8166046142578125	0.020227909088134766	1.0	0.7918442384207713	0.8838315534821904	0.11473183978275628	0.29429735234215887	2229
RefineAndMine	0.21842577174330732	0.4581747903465216	15463	0.9771199226379395	0.020227909088134766	1.0	0.8869983772013657	0.9401156756868925	0.05702647657841141	0.2484725050916497	1083
RefineAndMine	0.21842577174330732	0.42289348171701113	19102	1.204613447189331	0.020227909088134766	1.0	0.8869983772013657	0.9401156756868925	0.05702647657841141	0.2484725050916497	1484
RefineAndMine	0.21842577174330732	0.42289348171701113	23576	1.4340853691101074	0.020227909088134766	1.0	0.888747565513054	0.9410972453289567	0.05702647657841141	0.2484725050916497	1678
