method	quality	guarantee	nb_patterns	timespent_full	timeInitialize	timespent	timePostProcessing	recall	size_pattern_set
CbO	0.07708573625528643	-1	250980	5.119172811508179	0.004283905029296875	3.6365818977355957	1.4783070087432861	1.0	10
MCTS4DM	0.07112648981161093	-1	10	0.111	0	0.111	0	0.5218238363560712	10
MCTS4DM	0.06997308727412534	-1	10	0.114	0	0.114	0	0.4790882138688805	10
MCTS4DM	0.07324106113033449	-1	10	0.164	0	0.164	0	0.5269916602069972	10
MCTS4DM	0.07670126874279123	-1	10	0.261	0	0.261	0	0.6225951662716369	10
MCTS4DM	0.07670126874279123	-1	10	0.4	0	0.4	0	0.6293637015136004	10
MCTS4DM	0.06949250288350634	-1	10	0.5730000000000001	0	0.5730000000000001	0	0.3279444745211402	10
MCTS4DM	0.07670126874279123	-1	10	0.659	0	0.659	0	0.6317669631137124	10
MCTS4DM	0.07708573625528642	-1	10	1.311	0	1.311	0	0.7028462765481285	10
MCTS4DM	0.07708573625528642	-1	10	2.169	0	2.169	0	0.7389690876350541	10
MCTS4DM	0.07708573625528642	-1	10	4.298	0	4.298	0	0.681079528239523	10
MCTS4DM	0.07670126874279123	-1	10	5.323	0	5.323	0	0.6974093734483761	10
MCTS4DM	0.07670126874279123	-1	10	10.234	0	10.234	0	0.8161529593594811	10
MCTS4DM	0.07641291810841983	-1	10	18.124	0	18.124	0	0.6968777067100537	10
MCTS4DM	0.07708573625528642	-1	10	63.712	0	63.712	0	0.7220033495033495	10
MCTS4DM	0.07708573625528642	-1	10	477.813	0	477.813	0	0.9090888278388277	10
RefineAndMine	0.04911572472126106	0.18877354863514034	505	0.023770809173583984	0.004373073577880859	0.01431584358215332	0.005081892013549805	0.31659889749225845	10
RefineAndMine	0.04911572472126106	0.18531334102268357	651	0.029180049896240234	0.004373073577880859	0.019355058670043945	0.00545191764831543	0.3254224269040232	10
RefineAndMine	0.04911572472126106	0.18271818531334102	929	0.04115128517150879	0.004373073577880859	0.028249263763427734	0.008528947830200195	0.33612980178080826	10
RefineAndMine	0.04911572472126106	0.18271818531334102	1191	0.05180239677429199	0.004373073577880859	0.03764629364013672	0.009783029556274414	0.3487402190820571	10
RefineAndMine	0.050365244136870435	0.18271818531334102	1467	0.06251716613769531	0.004373073577880859	0.04763913154602051	0.010504961013793945	0.3688280982895139	10
RefineAndMine	0.07410611303344869	0.16205305651672433	2157	0.10145235061645508	0.004373073577880859	0.07803821563720703	0.019041061401367188	0.4959101567126494	10
RefineAndMine	0.07410611303344869	0.15426758938869667	2758	0.13262462615966797	0.004373073577880859	0.10490536689758301	0.0233461856842041	0.4959101567126494	10
RefineAndMine	0.07410611303344869	0.15349865436370627	3752	0.1768181324005127	0.004373073577880859	0.1420121192932129	0.030432939529418945	0.515027803771473	10
RefineAndMine	0.07410611303344869	0.12764321414840446	4972	0.2584371566772461	0.004373073577880859	0.20992398262023926	0.04414010047912598	0.5632028813845507	10
RefineAndMine	0.07410611303344869	0.11697424067666283	6423	0.33017802238464355	0.004373073577880859	0.2715458869934082	0.05425906181335449	0.5632028813845507	10
RefineAndMine	0.07410611303344869	0.11370626682045366	6691	0.36146116256713867	0.004373073577880859	0.29942798614501953	0.05766010284423828	0.5632028813845507	10
RefineAndMine	0.07410611303344869	0.11053440984236831	8126	0.4399259090423584	0.004373073577880859	0.36623191833496094	0.0693209171295166	0.5632028813845507	10
RefineAndMine	0.07622068435217225	0.10813148788927336	9977	0.545072078704834	0.004373073577880859	0.4498119354248047	0.09088706970214844	0.6249638725398788	10
RefineAndMine	0.07622068435217225	0.10813148788927336	11759	0.6619307994842529	0.004373073577880859	0.5377857685089111	0.11977195739746094	0.6267495868255931	10
RefineAndMine	0.07622068435217225	0.10024990388312188	14042	0.8133544921875	0.004373073577880859	0.6712265014648438	0.1377549171447754	0.6298745868255932	10
RefineAndMine	0.07708573625528643	0.10024990388312188	16000	0.9106743335723877	0.004373073577880859	0.736931324005127	0.16936993598937988	0.6359055146606446	10
RefineAndMine	0.07708573625528643	0.09928873510188388	18243	1.0502102375030518	0.004373073577880859	0.8559622764587402	0.18987488746643066	0.6359055146606446	10
RefineAndMine	0.07708573625528643	0.09678969627066512	21167	1.2126023769378662	0.004373073577880859	1.020186185836792	0.18804311752319336	0.6643564101703637	10
RefineAndMine	0.07708573625528643	0.09611687812379854	23163	1.31309175491333	0.004373073577880859	1.097825527191162	0.2108931541442871	0.6685230768370304	10
RefineAndMine	0.07708573625528643	0.08929257977700884	26153	1.4963915348052979	0.004373073577880859	1.2476904392242432	0.24432802200317383	0.6685230768370304	10
RefineAndMine	0.07708573625528643	0.08929257977700884	28883	1.6661262512207031	0.004373073577880859	1.3667232990264893	0.295029878616333	0.6685230768370304	10
RefineAndMine	0.07708573625528643	0.08669742406766628	31352	1.7798292636871338	0.004373073577880859	1.4494822025299072	0.3259739875793457	0.6685230768370304	10
RefineAndMine	0.07708573625528643	0.08554402153018072	35137	1.9545361995697021	0.004373073577880859	1.643618106842041	0.3065450191497803	0.7160961157144171	10
RefineAndMine	0.07708573625528643	0.08554402153018072	41720	2.319392204284668	0.004373073577880859	1.9297511577606201	0.385267972946167	0.7243407965654809	10
RefineAndMine	0.07708573625528643	0.08554402153018072	45093	2.514115333557129	0.004373073577880859	2.1017231941223145	0.4080190658569336	0.7243407965654809	10
RefineAndMine	0.07708573625528643	0.08554402153018072	46967	2.6271865367889404	0.004373073577880859	2.1916823387145996	0.43113112449645996	0.7243407965654809	10
RefineAndMine	0.07708573625528643	0.08467896962706652	48834	2.7055046558380127	0.004373073577880859	2.2432985305786133	0.45783305168151855	0.7243407965654809	10
RefineAndMine	0.07708573625528643	0.07968089196462899	52810	2.894927740097046	0.004373073577880859	2.438657760620117	0.45189690589904785	0.7417792202108011	10
RefineAndMine	0.07708573625528643	0.07795078815840062	59168	3.2597506046295166	0.004373073577880859	2.726945638656616	0.5284318923950195	0.7442924477240286	10
RefineAndMine	0.07708573625528643	0.07708573625528643	63599	3.5346317291259766	0.004373073577880859	2.949399471282959	0.5808591842651367	0.7652264251797452	10
RefineAndMine	0.07708573625528643	0.07708573625528643	71551	3.76008939743042	0.004373073577880859	3.0990524291992188	0.6566638946533203	0.7652264251797452	10
RefineAndMine	0.07708573625528643	0.07708573625528643	78385	3.9403486251831055	0.004373073577880859	3.226118564605713	0.7098569869995117	0.8404588089878411	10
RefineAndMine	0.07708573625528643	0.07708573625528643	86402	4.154439687728882	0.004373073577880859	3.3851027488708496	0.7649638652801514	0.8404588089878411	10
RefineAndMine	0.07708573625528643	0.07708573625528643	91832	4.284495115280151	0.004373073577880859	3.488590955734253	0.7915310859680176	0.8536834466690004	10
RefineAndMine	0.07708573625528643	0.07708573625528643	101309	4.472640752792358	0.004373073577880859	3.674043655395508	0.7942240238189697	0.8797704031907395	10
RefineAndMine	0.07708573625528643	0.07708573625528643	109373	4.626830816268921	0.004373073577880859	3.8286118507385254	0.7938458919525146	0.8806145590348955	10
RefineAndMine	0.07708573625528643	0.07708573625528643	117947	4.856040000915527	0.004373073577880859	3.9941978454589844	0.8574690818786621	0.8806145590348955	10
RefineAndMine	0.07708573625528643	0.07708573625528643	130879	5.232161998748779	0.004373073577880859	4.238618850708008	0.9891700744628906	0.8806145590348955	10
RefineAndMine	0.07708573625528643	0.07708573625528643	139638	5.414618015289307	0.004373073577880859	4.399123907089233	1.0111210346221924	0.8806145590348955	10
RefineAndMine	0.07708573625528643	0.07708573625528643	149742	5.590530872344971	0.004373073577880859	4.586294889450073	0.9998629093170166	0.884781225701562	10
RefineAndMine	0.07708573625528643	0.07708573625528643	163242	5.929908037185669	0.004373073577880859	4.838294982910156	1.0872399806976318	0.9047812257015622	10
RefineAndMine	0.07708573625528643	0.07708573625528643	171519	6.116669416427612	0.004373073577880859	4.993804216384888	1.1184921264648438	0.9349411094224924	10
RefineAndMine	0.07708573625528643	0.07708573625528643	181914	6.385455369949341	0.004373073577880859	5.1875691413879395	1.1935131549835205	0.9349411094224924	10
RefineAndMine	0.07708573625528643	0.07708573625528643	190369	6.579832315444946	0.004373073577880859	5.361579179763794	1.2138800621032715	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	201268	6.80189323425293	0.004373073577880859	5.5578460693359375	1.2396740913391113	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	205731	6.911431312561035	0.004373073577880859	5.641735315322876	1.2653229236602783	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	205735	6.899547338485718	0.004373073577880859	5.642110109329224	1.2530641555786133	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	205852	6.911893129348755	0.004373073577880859	5.645685195922852	1.2618348598480225	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	217169	7.178585767745972	0.004373073577880859	5.8556108474731445	1.3186018466949463	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	229248	7.4402830600738525	0.004373073577880859	6.079309940338135	1.356600046157837	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	246734	7.841487169265747	0.004373073577880859	6.3977580070495605	1.4393560886383057	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	252212	7.938536882400513	0.004373073577880859	6.485406875610352	1.4487569332122803	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	260628	8.16421127319336	0.004373073577880859	6.6557981967926025	1.504040002822876	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	271684	8.39835524559021	0.004373073577880859	6.8511950969696045	1.5427870750427246	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	283505	8.686979293823242	0.004373073577880859	7.069083213806152	1.613523006439209	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	292214	8.863937377929688	0.004373073577880859	7.24083137512207	1.6187329292297363	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	292221	8.868630647659302	0.004373073577880859	7.241316556930542	1.622941017150879	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	299790	9.026214838027954	0.004373073577880859	7.376773834228516	1.6450679302215576	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	310903	9.269110679626465	0.004373073577880859	7.590010643005371	1.674726963043213	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	334458	9.94567346572876	0.004373073577880859	8.021015405654907	1.9202849864959717	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	358726	10.57247519493103	0.004373073577880859	8.495127201080322	2.072974920272827	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	374894	10.93045425415039	0.004373073577880859	8.79235029220581	2.133730888366699	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	384283	11.155080318450928	0.004373073577880859	8.965624332427979	2.1850829124450684	0.990625	10
RefineAndMine	0.07708573625528643	0.07708573625528643	387665	11.242924213409424	0.004373073577880859	9.041351318359375	2.197199821472168	1.0	10
RefineAndMine	0.07708573625528643	0.07708573625528643	408633	11.777049541473389	0.004373073577880859	9.415737390518188	2.3569390773773193	1.0	10
RefineAndMine	0.07708573625528643	0.07708573625528643	409014	11.796021461486816	0.004373073577880859	9.425617218017578	2.3660311698913574	1.0	10
RefineAndMine	0.07708573625528643	0.07708573625528643	409028	11.79665231704712	0.004373073577880859	9.426395177841187	2.3658840656280518	1.0	10
